sim,storage,transport_cost,coating_cost,decoating_time,max_uses,peelcoating_price,A,B,C,D,E,winner
103,4.461275383369369,67.68666548620055,7.98656009573047,6.136298784136086,120,4.4274288067274865,1022.6118687631299,1038.7960188138518,3112.61186876313,1410.3725307324605,698.1727968554927,E
104,8.161875599940526,76.20095747049301,7.683296124513287,11.46677322074472,120,2.3806481394317327,1123.0675777038427,1187.4818474486697,3213.0675777038427,1468.5914713545535,762.4636508255655,E
105,3.8867555834726755,90.82888531457432,14.767305449285924,11.21016491152879,120,1.7975598459400774,1214.1761939162682,1473.5717523824992,3304.176193916268,1596.4591319527144,871.6721190292456,E
106,6.040380101741498,101.674744362009,5.773354956766761,3.7663113416852734,120,2.3630643347375453,1190.2429652589058,1228.3459984591138,3280.2429652589058,1635.5701918717693,953.2684397582402,E
107,1.4260645543928638,84.48512242813146,9.199560830447531,9.053958211154768,120,2.207678366538091,1141.6531473263444,1252.8221682812696,3231.653147326345,1529.978835024461,823.8055351509538,E
108,5.576336557123355,100.81948624809306,8.842250514440886,10.438365561969398,120,4.554062086679032,1343.110962872793,1401.6420998251472,3433.1109628727927,1641.8534890233316,946.7996238009857,E
109,6.417476402483592,113.36255968701724,15.239559251746384,5.608743180975708,120,3.775877145356021,1341.3321880527012,1581.482478371333,3431.3321880527014,1753.8800674214556,1040.9712456685454,E
110,5.686422847000185,83.47566946809931,14.381694293539727,8.117319450685715,120,3.0216260824672085,1139.1300358783121,1354.3784250451272,3229.1300358783124,1544.7991853005994,816.7338986881276,E
111,3.3356090626629564,86.41493855862203,12.581873481302067,9.33412640656042,120,1.9816353436106,1155.4082016283173,1354.625120851879,3245.4082016283173,1557.2380393355984,838.502930876696,E
112,6.362841602422314,114.95304171737156,9.92471969632669,8.596958481098103,120,2.7011927686285993,1375.2734205252266,1514.8528480780096,3465.2734205252273,1743.542041292823,1052.8934583805706,E
113,3.743038498894789,74.12392790055719,8.685205457904338,5.41711644859447,120,2.0077142397326955,1001.2271015093644,1097.0798366709018,3091.2271015093647,1457.249343284399,746.3680965782681,E
114,5.5031535094502635,88.96822748959194,11.174177707502011,4.288523175315197,120,8.4892632283293,1250.2652952587746,1261.4294133761136,3340.265295258775,1569.6860698115229,857.9066069738283,E
115,2.7420460008092387,60.31794942919739,9.423721316141952,7.417935021434613,120,2.1390604477945483,932.7303653247233,1032.800688236959,3022.730365324723,1365.044876856121,642.7059542347002,E
116,5.029297280379246,120.72491044247458,14.327232112213304,13.051429902025163,120,2.164310971043121,1476.7925408310414,1739.2463310509818,3566.7925408310416,1800.510720675958,1096.0261990936037,E
117,0.7844629846000162,59.45165089313649,8.4931481341286,6.933980439945604,120,1.649593628476362,906.5132450770939,995.3472913825999,2996.5132450770943,1354.8926795559105,635.9793109545315,E
118,4.153114481158959,54.393643378817465,14.940951864045754,7.655470232026972,120,1.8457440972164847,885.224400490019,1120.3046194280346,2975.224400490019,1346.7259380989587,598.4390184443918,E
119,5.188114406884708,35.763061716598095,13.634417521483803,6.595746204804819,120,3.0243707356613907,756.9477819642932,918.4112011114796,2846.9477819642934,1213.6652158454644,458.83094503154257,E
120,6.603713552497262,79.69803015272143,9.840920338217838,7.453709555339545,120,17.720385824544273,1453.0577115018395,1203.724062444546,3543.0577115018395,1500.886975528827,788.509098827344,E
121,6.020660974734872,98.86380292583318,12.229636154241415,5.248682781966281,120,2.007232763570555,1184.3365789888794,1383.822112559355,3274.3365789888794,1642.0653185618876,932.1840681517256,E
122,5.4906127561060645,90.70097896929448,9.900538676024677,7.313435881281899,120,1.916003072365849,1153.8998212893553,1293.5544100041382,3243.8998212893553,1576.5011428948678,870.9007734520646,E
123,3.9979467288462462,75.60259232609575,10.325415431047645,2.9927371071048654,120,2.5129294225420677,985.6820516826922,1109.8836601313978,3075.6820516826924,1474.0377366894913,757.4879518280047,E
124,3.468493821322315,47.826650648460856,13.952181275246177,9.248921174781497,120,2.7207681529592826,882.3875184506695,1067.8114213719007,2972.3875184506696,1297.4569741565047,549.1063439831427,E
125,4.763300411909207,69.17001331489266,11.875754713407327,5.095538722597157,120,2.9492251435020895,981.6433221343201,1127.7575417982152,3071.6433221343204,1436.2004722120255,709.3332991287155,E
126,3.657881831540956,106.07194066355453,10.47902691174584,9.536641271050385,120,2.80769747371263,1325.9392127097021,1469.605074720165,3415.9392127097026,1684.0465929649972,985.9682130037927,E
127,7.0730860712847505,44.87378162856123,15.086627334055548,3.974098126603462,120,2.085252590923651,761.0138716960109,986.7022017525974,2851.013871696011,1282.56677106547,527.3822394881879,E
128,-0.9807809920515398,83.06737961097362,11.270905984483033,7.640809872746804,120,2.4090175292501788,1112.9597904757493,1267.945648109568,3202.9597904757493,1527.9343258668632,812.8904118097961,E
129,3.2444567742455384,52.43860591087089,8.161070926817144,6.6466534885591315,120,2.5311118130202184,870.7628934391951,925.2108666034744,2960.7628934391955,1305.9454662195185,583.6697541097636,E
130,-0.5127641080759044,58.13539472905629,9.946694525836575,8.242562685365446,120,1.9331189520189611,924.231228738309,1040.1585885567242,3014.2312287383093,1351.3434318081836,625.955370924007,E
131,3.6407883733865134,62.604174911172436,9.428127957428952,7.035961597064468,120,1.973737553492485,939.9030535581508,1045.761554436005,3029.9030535581505,1380.997967778206,659.9579667212995,E
132,6.376895674944251,98.92558122913272,16.017805065780585,10.425292330503336,120,2.0966060039828216,1269.812373064044,1558.1153364690401,3359.8123730640446,1657.7289956346856,932.689151680403,E
133,5.602488181947034,55.9286314144377,12.202943862478753,3.3826276799231634,120,3.399254989303535,865.8254398141602,999.0604463311938,2955.8254398141603,1346.6779690307394,610.1212771921047,E
134,4.255108976634063,83.71934946745685,10.989960437633046,3.804425513014974,120,2.2613946322486234,1053.5380459713324,1205.813137401151,3143.5380459713324,1532.5609035445766,818.3937665891257,E
135,6.041120760856402,99.68501936299842,8.920985337928432,9.901735164996603,120,2.6316350155549575,1279.9325920749156,1385.640764334128,3369.932592074916,1634.481533406598,938.345589061651,E
136,6.152818459874658,109.89810417169352,12.630938995385746,9.048452128314604,120,2.363844934030708,1336.4643271707387,1545.2981627720296,3426.464327170739,1719.563357882687,1014.956814700968,E
137,3.398463318499368,55.1271754243688,10.557215854678876,6.544539696005952,120,2.286809028352787,883.4481249194648,1003.2832703195676,2973.4481249194646,1334.0512597962002,603.8520731029026,E
138,6.823366359952212,70.68354513102972,8.53242119607208,5.74414497503935,120,2.0146569651095962,981.1842884912897,1070.6232888826617,3071.18428849129,1433.7315916004186,720.9262017280298,E
139,9.275907034007194,80.82508842661362,6.534917113307865,8.94445349666736,120,12.38779882311674,1357.6936112566295,1157.8432665411767,3447.693611256629,1496.0586601209989,797.2751835551499,E
140,5.100590632485636,93.11958862561767,12.827323652612517,4.390186253883414,120,1.942578010753539,1125.8594924770964,1336.9330793509253,3215.8594924770964,1604.7417657053766,888.9946401568768,E
141,6.96487094690913,86.57595138792679,7.353847270686877,3.7755656505532773,120,2.5171128177895365,1080.9555892593432,1141.9691796698244,3170.9555892593435,1538.3118595571987,840.1358312235418,E
142,4.0726859895452385,92.89502234937538,15.060606595277276,11.798613201261325,120,2.792699397916757,1262.9925322798986,1507.0935717785828,3352.992532279899,1611.8820586711581,887.1899355097153,E
143,4.704058889725639,72.90484368218343,6.76475498865012,8.026300281470206,120,2.1942142547908428,1038.419531136019,1082.7911415102792,3128.419531136019,1441.419084531967,737.3375845175154,E
144,3.941367623141108,69.80434626203736,9.78365328242046,11.595838013541698,120,3.1138607561687888,1094.260542348335,1186.6888226749033,3184.2605423483355,1431.9940436524182,713.994475983617,E
145,5.241747542693426,91.31176409879345,11.336075226790905,5.779842190827834,120,2.1211389043691553,1138.8373067892155,1308.4796016014325,3228.8373067892157,1586.3821648193646,875.4524980311103,E
146,2.9205084805452737,59.67093736088652,13.98609436174118,5.389221083558015,120,2.312087889822844,899.5919239868894,1104.5212823335942,2989.591923986889,1378.8893824506918,637.8742772942128,E
147,4.753312145022617,104.66983790094257,11.988213898451043,11.89388860691341,120,2.1885546418391346,1338.408342138818,1532.1025427232107,3428.4083421388177,1680.709183947907,975.5808130240641,E
148,5.73199537760398,37.942989074627334,9.70456145924172,10.875358677318577,120,1.9566635822511453,816.2098010791428,910.616591932887,2906.2098010791424,1213.0645133555433,475.244136268018,E
