sim,storage,transport_cost,coating_cost,decoating_time,peelcoating_time,A,B,C,winner
171,3.4568121591972814,51.21780447582302,12.846111793001668,6.899361440636914,20.87749937405183,20.855407209792496,23.67555834552344,21.459862030406203,A
172,5.654032696388031,68.59885491897379,14.982689885742978,13.228286684197542,19.358683833250844,24.062147011632256,27.916142209810047,29.22916342895044,A
173,10.019517731014446,105.91915220384598,8.287283602710511,11.39101607352484,24.859014775236055,26.504187232507263,32.551608672525646,24.32620662023291,C
174,4.294382869161911,63.34436661676563,10.532630595015574,10.033141564276237,20.155957843488935,22.463566271843447,25.95286331786887,22.186938277581916,C
175,6.279915639428694,83.76553161960663,15.944298274024039,13.613777120159613,23.933377604868717,27.368936483352222,32.0282067372897,31.61656034090571,A
176,5.427233147569487,123.99143978788021,6.191967269347851,13.14288561085462,24.470863649464064,27.413332840212455,34.01994731567418,24.52461065138709,C
177,1.999661166089981,127.28131624566825,13.942370971241875,10.594699034446217,17.023112931034,20.749374643653475,27.26341504339364,30.651585437602304,A
178,8.46733911576131,108.65059906203088,13.349724625515481,12.229282153543728,19.136049850249343,23.247721335862046,29.31530172264569,30.074741279985016,A
179,7.226187512998674,70.7083941851055,15.639223565153081,10.482187783624697,20.370118207706945,22.905703994221092,26.983087766951268,28.29178769376906,A
180,4.714790909120738,89.83807401450403,7.463682797981821,11.058612192218549,18.24617915693563,21.874027566102786,26.71954058501204,21.809686022671357,C
181,2.634211133915802,82.40186915698243,8.23361166006612,13.917363085985833,17.01136155466279,22.956649760432416,27.274309053325222,23.82370446085948,A
182,7.303969711443259,82.75234649625735,7.931503362997273,7.352681808271691,17.2572846887223,18.74414433132933,23.42955938450044,19.404915707969863,A
183,2.4643888142754244,35.27599604349874,10.344728641707125,15.30447023103509,22.02343814315224,27.22277224945822,29.171401212703813,23.316627939706695,C
184,5.760472181149151,86.05044950830772,12.518877551547192,9.113925533962382,24.52905710912603,24.76615509539227,29.500712984393843,25.336635229702647,A
185,5.214618388046115,115.05600543359438,12.085194479038519,15.76017066489813,18.440362648222575,25.137855542080473,31.28175219286365,31.481906249225823,A
186,3.5170169891653233,137.87271057097635,13.662345725106125,10.032650610521408,16.058548661233228,19.731632847836423,26.889044650572643,30.867083607735225,A
187,2.3636271583110116,55.838789695910876,14.731051013972632,14.970922605891891,23.26164782987599,27.82588029051192,30.79509181218079,29.017756669676093,A
188,5.867638628047426,111.96997984177256,15.226984849817558,8.561635839024463,26.668250400152424,25.824090826117924,31.86266271531011,29.62587249536918,A
189,7.1297275243196765,130.42774287663732,13.297566286147461,13.042756618197256,19.5994469086028,24.098969017866704,31.155085726022545,32.13130445690941,A
190,5.399556749140084,132.30356736926774,8.042082093557937,19.280599314798614,17.363096765358325,26.766630720104626,33.78677584475352,31.088560360242433,A
191,5.629490757637582,76.76771139908242,15.847238715119616,9.942591707767212,23.109800230509805,24.372427958851347,28.633025335628286,28.514686079777487,A
192,3.1812488649126696,55.50191800795474,10.564481874379949,10.675848916395235,12.28563616335889,17.645156719836084,20.65884628510227,22.003420779152343,A
193,4.213813216961853,86.48055213214671,13.019724111215442,9.638594740388587,27.54107747225747,27.123948141764036,31.76401173964351,26.142186008900264,C
194,3.7766334662603134,33.70484434763955,10.372288932644022,15.161782413348888,15.962936688976747,23.087312734883756,25.055802462235256,23.196838874262596,A
195,7.413454863624138,94.18181659004632,15.089261881669962,15.48962938618732,22.613100008142005,27.739319596219552,33.00441954049368,32.84999045989619,A
196,1.9907259847479581,85.57585303801247,14.464028159700801,19.46429849577669,25.190777737534706,32.1075508222076,36.535647922964316,33.95795243397359,A
197,4.282910185917575,32.99134454998036,15.692428901888746,9.754761922936924,24.975071700042,25.490722415319283,27.46150790676212,24.884099867724434,C
198,8.661259035897983,86.1898572763109,13.114864112229412,17.673372860179988,19.15447534744584,26.889398805083886,31.848486096591778,31.794414933200954,A
199,6.312723347645522,101.65965478871149,11.740672460317459,6.667014386217367,28.340597656630955,25.675908028565548,31.232345019074536,24.125458994331343,C
200,5.870678661422229,60.309116639537955,11.867064302493151,8.437690156672687,20.980941111944936,21.94992084574508,25.405677577328646,22.308908754644733,A
201,6.028088056895532,100.34721510834153,6.802184350934864,9.665472552164118,13.200037505919278,17.5811733720556,23.05064073173984,21.073278255014667,A
202,3.050409361891493,92.65766910523578,9.572895480572148,9.615141628544542,22.566629442230283,23.792014047183216,28.653678204586868,23.0848355505891,C
